read,READ
x,IDENTIFIER
;,SEMICOLON
if,IF
0,number
<,LESSTHAN
x,IDENTIFIER
then,THEN
fact,IDENTIFIER
:=,ASSIGN
1,number
;,SEMICOLON
repeat,REPEAT
fact,IDENTIFIER
:=,ASSIGN
fact,IDENTIFIER
*,TIMES
y,IDENTIFIER
;,SEMICOLON
x,IDENTIFIER
:=,ASSIGN
x,IDENTIFIER
-,MINUS
1,number
until,UNTIL
x,IDENTIFIER
=,EQUAL
0,number
;,SEMICOLON
repeat,REPEAT
y,IDENTIFIER
:=,ASSIGN
x,IDENTIFIER
+,PLUS
2,number
;,SEMICOLON
untill,IDENTIFIER
y,IDENTIFIER
=,EQUAL
10,number
;,SEMICOLON
write,WRITE
fact,IDENTIFIER
end,END
